제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,분류근거_키워드,분류신뢰도,출산양육관련여부,수집방식
PROP-202443,서울시 신혼부부 지원,서울시 신혼부부 지원,2026-07-21,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202443,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-202432,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,서울시 양육지원 서비스 이용대상 확대 및 종로구 백일·돌상 촬영공간 조성 건의,2026-07-21,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202432,직접키워드 (양육),상,직접관련,ver1 수집
PROP-202418,임산부 스마트 배려 뱃지 도입 제안,임산부 스마트 배려 뱃지 도입 제안,2026-07-19,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202418,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-202347,서울시 초등돌봄센터 일시돌봄 이용대상자 확대,서울시 초등돌봄센터 일시돌봄 이용대상자 확대,2026-07-09,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202347,직접키워드 (초등돌봄),상,직접관련,ver1 수집
PROP-202342,서울형 신혼주택,서울형 신혼주택,2026-07-07,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202342,조합규칙 (주거|임대|전세|월세|주택|대출+출산|신혼|신생아|자녀|다자녀|양육),중,조합관련,ver1 수집
PROP-202286,저출산 고령화 문제에 관한 제안,저출산 고령화 문제에 관한 제안,2026-06-29,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202286,직접키워드 (출산),상,직접관련,ver1 수집
PROP-202259,청년 주거안정 및 다자녀 가구 주거이동 지원을 위한 소규모 오피스텔 공공매입 제도 개선 건의,청년 주거안정 및 다자녀 가구 주거이동 지원을 위한 소규모 오피스텔 공공매입 제도 개선 건의,2026-06-25,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202259,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-202234,"초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)","초등학생 저녁식사 지원 서비스(키움센터 활용, 사전 예약 기반, 일부 비용 지급)",2026-06-23,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202234,직접키워드 (키움센터),상,직접관련,ver1 수집
PROP-202224,서울형 키즈카페의 행정 편의주의적 운영 규정 개선 및 다자녀 가구 역차별 해소 촉구,서울형 키즈카페의 행정 편의주의적 운영 규정 개선 및 다자녀 가구 역차별 해소 촉구,2026-06-20,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202224,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-202208,대중교통 임산부 배려석 뱃지 태그 시스템 도입,대중교통 임산부 배려석 뱃지 태그 시스템 도입,2026-06-19,2026,28.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-202180,아이들의 웃음에는 격차가 없어야 합니다「서울형 해치와 프렌즈 순환형 테마놀이터 조성」,아이들의 웃음에는 격차가 없어야 합니다「서울형 해치와 프렌즈 순환형 테마놀이터 조성」,2026-06-15,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202180,조합규칙 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),중,조합관련,ver1 수집
PROP-202145,임산부 배려 뱃지 배포,임산부 배려 뱃지 배포,2026-06-10,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202145,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-202127,서울시 신혼부부 이자지원 사업,서울시 신혼부부 이자지원 사업,2026-06-08,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202127,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-202117,타 지자체 거주 다자녀 가구의 공영주차장 이용 감면 및 주차난 해소를 위한 정책 개선을 건의합니다.,타 지자체 거주 다자녀 가구의 공영주차장 이용 감면 및 주차난 해소를 위한 정책 개선을 건의합니다.,2026-06-07,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202117,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-202113,영유아쉼터나 유아휴게실,영유아쉼터나 유아휴게실,2026-06-05,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202113,직접키워드 (영유아),상,직접관련,ver1 수집
PROP-202095,지하철 임산부석에 임산부 아닌 사람들이 앉지 못하도록 하는 공공 디자인 제안,지하철 임산부석에 임산부 아닌 사람들이 앉지 못하도록 하는 공공 디자인 제안,2026-06-04,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202095,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-202066,신생아 특례대출 기간 늘려주세요,신생아 특례대출 기간 늘려주세요,2026-05-27,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202066,직접키워드 (신생아),상,직접관련,ver1 수집
PROP-202014,서울특별시 신혼부부  임차보증금 대출 사업,서울특별시 신혼부부  임차보증금 대출 사업,2026-05-18,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202014,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-201933,저출생 대책이라면서요? 난자동결 지원사업의 '난소수치(AMH)' 기준 철폐를 강력히 촉구합니다.,저출생 대책이라면서요? 난자동결 지원사업의 '난소수치(AMH)' 기준 철폐를 강력히 촉구합니다.,2026-05-05,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201933,직접키워드 (출생),상,직접관련,ver1 수집
PROP-201851,혼잡 버스 내 임산부 안전 확보위한 자동안내시스템 건의,혼잡 버스 내 임산부 안전 확보위한 자동안내시스템 건의,2026-04-16,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201851,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-201815,저출산 대책 역행하는 서울시 '난자동결 시술비 지원' 기준 강화(AMH 1.5 이하) 철회 요청,저출산 대책 역행하는 서울시 '난자동결 시술비 지원' 기준 강화(AMH 1.5 이하) 철회 요청,2026-04-09,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201815,직접키워드 (출산),상,직접관련,ver1 수집
PROP-201788,서울 시내버스 임산부/노약자 좌석 관련,서울 시내버스 임산부/노약자 좌석 관련,2026-04-07,2026,6.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201788,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-201727,[시민규제발굴단] 자치구별 야간 보육 거점 기관 지정 의무화 및 접근성 강화,[시민규제발굴단] 자치구별 야간 보육 거점 기관 지정 의무화 및 접근성 강화,2026-03-29,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201727,직접키워드 (보육),상,직접관련,ver1 수집
PROP-201726,[시민규제발굴단] 주말 특별보육 운영 시 행정 부담 완화로 보육 접근성 제고,[시민규제발굴단] 주말 특별보육 운영 시 행정 부담 완화로 보육 접근성 제고,2026-03-29,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201726,직접키워드 (보육),상,직접관련,ver1 수집
PROP-201705,시간제보육 사전 예약없이 이용할 수 있게 해주세요,시간제보육 사전 예약없이 이용할 수 있게 해주세요,2026-03-25,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201705,직접키워드 (보육),상,직접관련,ver1 수집
PROP-201657,지하철 임산부석 이용 방식 개선에 대한 시민 제안,지하철 임산부석 이용 방식 개선에 대한 시민 제안,2026-03-15,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201657,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-201656,"[시민규제발굴단] 서울시 보육 격차 해소 : 거주지 벽을 넘는 ""보편적 보육 복지"" 실현을 위한 규제 혁신안","[시민규제발굴단] 서울시 보육 격차 해소 : 거주지 벽을 넘는 ""보편적 보육 복지"" 실현을 위한 규제 혁신안",2026-03-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201656,직접키워드 (보육),상,직접관련,ver1 수집
PROP-201636,출산 가정 태극기 제공(신혼 부부 태극기 미수혜 가정 보완 + 국기 선양 연계),출산 가정 태극기 제공(신혼 부부 태극기 미수혜 가정 보완 + 국기 선양 연계),2026-03-12,2026,11.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201636,직접키워드 (출산),상,직접관련,ver1 수집
PROP-201635,차상위계층 신청 시 가구원 수 및 다자녀 여부를 고려한 차량 가액 기준 완화 제안,차상위계층 신청 시 가구원 수 및 다자녀 여부를 고려한 차량 가액 기준 완화 제안,2026-03-12,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201635,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-201627,교통약자 배려 문화 정착을 위한 '임산부석 스마트 알림 시스템' 도입 제안,교통약자 배려 문화 정착을 위한 '임산부석 스마트 알림 시스템' 도입 제안,2026-03-11,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201627,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-201617,우리동네키움센터 보육횟수 증대 제안,우리동네키움센터 보육횟수 증대 제안,2026-03-10,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201617,직접키워드 (보육),상,직접관련,ver1 수집
PROP-201601,임산부 배려석 태그 장치 도입,임산부 배려석 태그 장치 도입,2026-03-06,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201601,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-201586,임산부 무료 식사지원 「행복한 임신메뉴」 운영,임산부 무료 식사지원 「행복한 임신메뉴」 운영,2026-03-03,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201586,직접키워드 (임신),상,직접관련,ver1 수집
PROP-201566,[시민규제발굴단] 아이돌봄문턱,[시민규제발굴단] 아이돌봄문턱,2026-02-26,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201566,직접키워드 (아이돌봄),상,직접관련,ver1 수집
PROP-201550,[시민규제발굴단] ‘어린이집 대란‘ 완화 방안(보육규제개선제안),[시민규제발굴단] ‘어린이집 대란‘ 완화 방안(보육규제개선제안),2026-02-22,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201550,직접키워드 (보육),상,직접관련,ver1 수집
PROP-201541,[시민규제발굴단] 어린이집 등 입소 관련 증빙서류 반복 제출 폐지,[시민규제발굴단] 어린이집 등 입소 관련 증빙서류 반복 제출 폐지,2026-02-20,2026,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201541,직접키워드 (어린이집),상,직접관련,ver1 수집
PROP-201539,[시민규제발굴단] 보육교사 처우 개선 유도함,[시민규제발굴단] 보육교사 처우 개선 유도함,2026-02-20,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201539,직접키워드 (보육),상,직접관련,ver1 수집
PROP-201529,한부모 가정 자립 지원을 위한 통합형 + 주거연계 모델 도입 제안,한부모 가정 자립 지원을 위한 통합형 + 주거연계 모델 도입 제안,2026-02-19,2026,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201529,직접키워드 (한부모),상,직접관련,ver1 수집
PROP-201521,<전국 동마다 자자체에서 운영 관리 하는 동물보육원 신설 의무화에 관한 청원>,<전국 동마다 자자체에서 운영 관리 하는 동물보육원 신설 의무화에 관한 청원>,2026-02-16,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201521,직접키워드 (보육),상,직접관련,ver1 수집
PROP-201497,남성 난임 지원 시술비를 신설해주시길 요청드립니다.,남성 난임 지원 시술비를 신설해주시길 요청드립니다.,2026-02-11,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201497,직접키워드 (난임),상,직접관련,ver1 수집
PROP-201438,자녀6명 이상인 가정은 총재산이 15억 이하이면 교육급여 대상자로 선정해주세요.,자녀6명 이상인 가정은 총재산이 15억 이하이면 교육급여 대상자로 선정해주세요.,2026-01-30,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201438,조합규칙 (교육|학습|강좌+유아|초등돌봄|자녀|부모교육|아빠교육),중,조합관련,ver1 수집
PROP-201435,？？ [정책 제안] 빛의 자녀(개척자)들을 위한 ‘자존감 및 사회화 통합 교육’ 신설,？？ [정책 제안] 빛의 자녀(개척자)들을 위한 ‘자존감 및 사회화 통합 교육’ 신설,2026-01-30,2026,1.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201435,조합규칙 (교육|학습|강좌+유아|초등돌봄|자녀|부모교육|아빠교육),중,조합관련,ver1 수집
PROP-201374,버스 내 임산부석 자리 양보,버스 내 임산부석 자리 양보,2026-01-23,2026,6.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201374,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-201314,마장 한전물류센터 특별계획구역 내 “성동구립마장도서관 및 서울형키즈까페를 포함하는 복합문화시설” 설치 필요성 및 요청,마장 한전물류센터 특별계획구역 내 “성동구립마장도서관 및 서울형키즈까페를 포함하는 복합문화시설” 설치 필요성 및 요청,2026-01-19,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201314,조합규칙 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),중,조합관련,ver1 수집
PROP-201278,서울시 공공자전거 따릉이 다자녀가구 할인 도입 제안,서울시 공공자전거 따릉이 다자녀가구 할인 도입 제안,2026-01-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201278,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-201207,"서울특별시 임산부 건강 지원사업(보건소, 산모 바우처 연계) 도입 제안","서울특별시 임산부 건강 지원사업(보건소, 산모 바우처 연계) 도입 제안",2026-01-12,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201207,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-201158,임산부좌석,임산부좌석,2026-01-05,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201158,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-201115,여의신월지하차도 다자녀(3자녀 이상) 가구 통행료 할인 적용 제안,여의신월지하차도 다자녀(3자녀 이상) 가구 통행료 할인 적용 제안,2025-12-26,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201115,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-201102,서울시 자치구별 다자녀 혜택의 문제점,서울시 자치구별 다자녀 혜택의 문제점,2025-12-23,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201102,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-201086,[시민규제발굴단]교육부 아이사랑 앱 시간제보육 예약 설정 재검토,[시민규제발굴단]교육부 아이사랑 앱 시간제보육 예약 설정 재검토,2025-12-19,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201086,직접키워드 (보육),상,직접관련,ver1 수집
PROP-201045,[시민규제발굴단] 장애인 아이들을 위한 서울형키즈카페 혹은 시설내의 프로그램,[시민규제발굴단] 장애인 아이들을 위한 서울형키즈카페 혹은 시설내의 프로그램,2025-12-13,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201045,조합규칙 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),중,조합관련,ver1 수집
PROP-201039,임산부 배려석 스마트 인증 시스템 도입 제안,임산부 배려석 스마트 인증 시스템 도입 제안,2025-12-10,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201039,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-200988,임산부 배려석 사용률 증진을 위한 '스마트 알림 뱃지(Smart  Badge)' 도입 제안,임산부 배려석 사용률 증진을 위한 '스마트 알림 뱃지(Smart  Badge)' 도입 제안,2025-12-02,2025,32.0,7,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200988,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-200951,출산가구 부모대상 노인복지회관 식당 공유 제안,출산가구 부모대상 노인복지회관 식당 공유 제안,2025-11-26,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200951,직접키워드 (출산),상,직접관련,ver1 수집
PROP-200867,임산부배려석의 배려의강요,임산부배려석의 배려의강요,2025-11-14,2025,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200867,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-200710,"공공자전거 그다음 ""공공유모차"", 어르신 등 취약계층 ""공공 지팡이 의자"" 정책사업 도입은 어떠할까요?","공공자전거 그다음 ""공공유모차"", 어르신 등 취약계층 ""공공 지팡이 의자"" 정책사업 도입은 어떠할까요?",2025-10-25,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200710,직접키워드 (유모차),상,직접관련,ver1 수집
PROP-200696,임산부좌석 뱃지태그기능,임산부좌석 뱃지태그기능,2025-10-24,2025,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200696,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-200665,"신혼부부 장기전세주택2, 혼인신고와 이혼","신혼부부 장기전세주택2, 혼인신고와 이혼",2025-10-21,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200665,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-200496,서울시 신혼부부 살림비 지원,서울시 신혼부부 살림비 지원,2025-09-23,2025,3.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200496,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-200475,안심 주택(청년.신혼. 어르신) 공급 지원 관련 조례 (신설.통합),안심 주택(청년.신혼. 어르신) 공급 지원 관련 조례 (신설.통합),2025-09-22,2025,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200475,조합규칙 (주거|임대|전세|월세|주택|대출+출산|신혼|신생아|자녀|다자녀|양육),중,조합관련,ver1 수집
PROP-200463,"[시민규제발굴단] 신혼, 청년, 노년 주택 공급에 대한 제안.","[시민규제발굴단] 신혼, 청년, 노년 주택 공급에 대한 제안.",2025-09-20,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200463,조합규칙 (주거|임대|전세|월세|주택|대출+출산|신혼|신생아|자녀|다자녀|양육),중,조합관련,ver1 수집
PROP-200449,[시민규제발굴단] 시간제보육신청 당일예약 신청,[시민규제발굴단] 시간제보육신청 당일예약 신청,2025-09-19,2025,11.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200449,직접키워드 (보육),상,직접관련,ver1 수집
PROP-200427,경춘선 숲길에 아이들을 위한 미니 기차 놀이 시설을 설치해주세요,경춘선 숲길에 아이들을 위한 미니 기차 놀이 시설을 설치해주세요,2025-09-18,2025,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200427,조합규칙 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),중,조합관련,ver1 수집
PROP-200411,서울시 신혼부부 결혼살림비 지원,서울시 신혼부부 결혼살림비 지원,2025-09-17,2025,24.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200411,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-200312,"아이돌봄서비스(조부모돌봄) 기간 ,범위 확대 건의","아이돌봄서비스(조부모돌봄) 기간 ,범위 확대 건의",2025-09-03,2025,1.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200312,직접키워드 (아이돌봄),상,직접관련,ver1 수집
PROP-200169,지하철 임산부 좌석,지하철 임산부 좌석,2025-08-10,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200169,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-200168,임산부 배려석 제안,임산부 배려석 제안,2025-08-10,2025,9.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200168,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-200157,sh 행복주택 신생아 최우선 공급관련 건의합니다,sh 행복주택 신생아 최우선 공급관련 건의합니다,2025-08-08,2025,56.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200157,직접키워드 (신생아),상,직접관련,ver1 수집
PROP-200129,예비 신혼부부를 위한 ‘서울시 미리내집’ 소득기준 개선 요청,예비 신혼부부를 위한 ‘서울시 미리내집’ 소득기준 개선 요청,2025-08-04,2025,0.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200129,직접키워드 (신혼부부),상,직접관련,ver1 수집
PROP-200102,강동구 키움센터 방학기간 설정에 인근 초등학교 방학기간을 고려해 주세요!,강동구 키움센터 방학기간 설정에 인근 초등학교 방학기간을 고려해 주세요!,2025-07-28,2025,20.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200102,직접키워드 (키움센터),상,직접관련,ver1 수집
PROP-200093,보육교사 집합 보수교육 기관 및 인원증설을 해 주세요,보육교사 집합 보수교육 기관 및 인원증설을 해 주세요,2025-07-26,2025,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200093,직접키워드 (보육),상,직접관련,ver1 수집
PROP-200064,출산율 문제를 해결하기 위해 세종시와의 돌봄 센터 지원 교류를 제안합니다,출산율 문제를 해결하기 위해 세종시와의 돌봄 센터 지원 교류를 제안합니다,2025-07-23,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200064,직접키워드 (출산),상,직접관련,ver1 수집
PROP-200040,국공립어린이집 유아식 저녁 배달 서비스 시범 도입 제안,국공립어린이집 유아식 저녁 배달 서비스 시범 도입 제안,2025-07-18,2025,7.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200040,직접키워드 (어린이집),상,직접관련,ver1 수집
PROP-200023,다자녀 가구 취득세 감면 제도 도입 제안,다자녀 가구 취득세 감면 제도 도입 제안,2025-07-16,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=200023,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-199938,"공영주차장 다둥이카드, 직원들이 잘 모르네요","공영주차장 다둥이카드, 직원들이 잘 모르네요",2025-07-09,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199938,직접키워드 (다둥이),상,직접관련,ver1 수집
PROP-199926,근데 오늘날 현실은 저출산입니다. 알고 있죠? ( 전 출산 지원 정책을 좀 삭감했으면 합니다. 여성관련된 정책도),근데 오늘날 현실은 저출산입니다. 알고 있죠? ( 전 출산 지원 정책을 좀 삭감했으면 합니다. 여성관련된 정책도),2025-07-08,2025,0.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199926,직접키워드 (출산),상,직접관련,ver1 수집
PROP-199841,서울시도 난임 시술비 ‘무제한’ 지원을 도입해 주세요,서울시도 난임 시술비 ‘무제한’ 지원을 도입해 주세요,2025-06-25,2025,43.0,6,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199841,직접키워드 (난임),상,직접관련,ver1 수집
PROP-199734,남성난임에 대해 관심을 가져주세요.,남성난임에 대해 관심을 가져주세요.,2025-06-09,2025,8.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199734,직접키워드 (난임),상,직접관련,ver1 수집
PROP-199715,고덕 2동 성당 옆 아이들 놀이터,고덕 2동 성당 옆 아이들 놀이터,2025-06-06,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199715,조합규칙 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),중,조합관련,ver1 수집
PROP-199700,서울시 체육시설 다자녀 할인 규정 개선,서울시 체육시설 다자녀 할인 규정 개선,2025-06-04,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199700,직접키워드 (다자녀),상,직접관련,ver1 수집
PROP-199692,지하철 임산부 배려석,지하철 임산부 배려석,2025-06-04,2025,5.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199692,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-199642,임산부 배려석 관련 제안,임산부 배려석 관련 제안,2025-05-28,2025,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199642,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-199629,유아차런 유아 참여 연령 상향,유아차런 유아 참여 연령 상향,2025-05-27,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199629,직접키워드 (유아차),상,직접관련,ver1 수집
PROP-199587,자녀출산 무주택가구 주거비 지원사업에 대하여 강력하게 문의합니다,자녀출산 무주택가구 주거비 지원사업에 대하여 강력하게 문의합니다,2025-05-22,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199587,직접키워드 (출산),상,직접관련,ver1 수집
PROP-199547,자녀 출산 무주택가구 주거비 지원 지원대상(출산기간) 보완 제안,자녀 출산 무주택가구 주거비 지원 지원대상(출산기간) 보완 제안,2025-05-16,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199547,직접키워드 (출산),상,직접관련,ver1 수집
PROP-199524,지하철 임산부좌석,지하철 임산부좌석,2025-05-13,2025,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199524,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-199518,지하철 내 임산부 배려석 운영 완화 요청,지하철 내 임산부 배려석 운영 완화 요청,2025-05-12,2025,3.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199518,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-199506,정책자금 융자 조건 - 신생아 임산부 경우 완화 제안,정책자금 융자 조건 - 신생아 임산부 경우 완화 제안,2025-05-10,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199506,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-199451,봉사활동을 통한 아이들의 성실성과 자발성 함양을 위한 부모교육 제안서,봉사활동을 통한 아이들의 성실성과 자발성 함양을 위한 부모교육 제안서,2025-04-28,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199451,조합규칙 (교육|학습|강좌+유아|초등돌봄|자녀|부모교육|아빠교육),중,조합관련,ver1 수집
PROP-199443,여의도 공원 내 실외놀이터 증설 및 서울형 키즈카페 도입,여의도 공원 내 실외놀이터 증설 및 서울형 키즈카페 도입,2025-04-28,2025,3.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199443,조합규칙 (공원|시설|편의|놀이+아이|유아|영유아|키즈|유모차|양육),중,조합관련,ver1 수집
PROP-199393,임산부석 자동화 시스템,임산부석 자동화 시스템,2025-04-21,2025,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=199393,직접키워드 (임산부),상,직접관련,ver1 수집
